record_id,date_time,city_zone,road_type,traffic_volume,average_speed_kmph,weather_condition,accident_reported,travel_time_minutes,congestion_level
61,2024-01-03 12:00:00,Suburban,Highway,1547,47.3,Storm,No,81.0,High
62,2024-01-03 13:00:00,Commercial,Local Road,2018,56.7,Storm,No,98.6,High
63,2024-01-03 14:00:00,Downtown,Main Road,2263,48.0,Storm,No,83.0,Low
64,2024-01-03 15:00:00,Industrial,Local Road,918,29.2,Fog,No,40.8,Medium
65,2024-01-03 16:00:00,Industrial,Highway,190,28.0,Fog,Yes,65.6,Medium
66,2024-01-03 17:00:00,Commercial,Highway,1460,13.1,Fog,No,73.6,Medium
67,2024-01-03 18:00:00,Residential,Local Road,1114,54.6,Storm,No,64.7,Medium
68,2024-01-03 19:00:00,Industrial,Highway,402,54.0,Storm,No,89.9,Medium
69,2024-01-03 20:00:00,Industrial,Highway,489,16.6,Storm,No,83.8,Low
70,2024-01-03 21:00:00,Industrial,Highway,2105,34.5,Rain,No,17.1,Medium
71,2024-01-03 22:00:00,Suburban,Main Road,1255,14.0,Storm,No,96.9,Low
72,2024-01-03 23:00:00,Commercial,Highway,1272,71.6,Fog,No,56.8,Low
73,2024-01-04 00:00:00,Commercial,Local Road,2576,79.6,Fog,No,83.4,Medium
74,2024-01-04 01:00:00,Industrial,Main Road,2002,70.8,Storm,No,33.8,High
75,2024-01-04 02:00:00,Residential,Local Road,1651,31.3,Clear,No,9.4,Medium
76,2024-01-04 03:00:00,Commercial,Main Road,2505,18.8,Fog,No,109.2,High
77,2024-01-04 04:00:00,Suburban,Local Road,314,37.6,Fog,No,60.2,Low
78,2024-01-04 05:00:00,Commercial,Main Road,448,42.5,Clear,No,64.4,Medium
79,2024-01-04 06:00:00,Commercial,Local Road,842,53.8,Clear,No,104.2,Medium
80,2024-01-04 07:00:00,Suburban,Local Road,2689,42.1,Clear,Yes,49.3,Low
81,2024-01-04 08:00:00,Industrial,Highway,364,77.1,Rain,Yes,82.1,High
82,2024-01-04 09:00:00,Residential,Local Road,2025,10.1,Clear,No,25.2,High
83,2024-01-04 10:00:00,Suburban,Main Road,2605,67.4,Fog,Yes,106.3,Low
84,2024-01-04 11:00:00,Downtown,Highway,1626,27.9,Clear,No,39.1,Low
85,2024-01-04 12:00:00,Commercial,Local Road,695,63.1,Rain,Yes,33.2,Low
86,2024-01-04 13:00:00,Downtown,Highway,2717,21.9,Fog,No,38.2,Medium
87,2024-01-04 14:00:00,Commercial,Highway,1977,78.7,Rain,No,47.1,Low
88,2024-01-04 15:00:00,Suburban,Main Road,735,77.3,Clear,No,105.2,High
89,2024-01-04 16:00:00,Suburban,Local Road,416,51.0,Storm,No,105.6,High
90,2024-01-04 17:00:00,Commercial,Highway,1182,54.2,Clear,No,46.2,Low
91,2024-01-04 18:00:00,Industrial,Highway,2516,14.7,Rain,Yes,102.0,High
92,2024-01-04 19:00:00,Commercial,Highway,1341,65.0,Fog,No,75.0,Low
93,2024-01-04 20:00:00,Industrial,Highway,1965,60.6,Fog,No,56.3,Low
94,2024-01-04 21:00:00,Residential,Local Road,964,75.2,Fog,No,24.6,Low
95,2024-01-04 22:00:00,Commercial,Highway,1376,76.0,Rain,No,39.0,Medium
96,2024-01-04 23:00:00,Suburban,Main Road,680,61.4,Clear,Yes,26.5,Low
97,2024-01-05 00:00:00,Industrial,Local Road,663,65.1,Storm,No,37.1,Medium
98,2024-01-05 01:00:00,Residential,Highway,2646,14.8,Rain,No,57.7,Low
99,2024-01-05 02:00:00,Commercial,Local Road,571,21.8,Rain,No,36.0,Low
100,2024-01-05 03:00:00,Suburban,Main Road,1216,73.3,Rain,No,105.7,Low
101,2024-01-05 04:00:00,Suburban,Main Road,2383,42.4,Rain,No,18.0,High
102,2024-01-05 05:00:00,Commercial,Main Road,2675,27.1,Clear,No,83.6,Medium
103,2024-01-05 06:00:00,Commercial,Highway,2251,39.2,Clear,No,69.4,High
104,2024-01-05 07:00:00,Residential,Highway,1610,12.8,Fog,No,88.8,Low
105,2024-01-05 08:00:00,Residential,Highway,2333,29.3,Rain,Yes,14.8,Medium
106,2024-01-05 09:00:00,Industrial,Highway,710,43.3,Clear,No,70.1,Low
107,2024-01-05 10:00:00,Commercial,Highway,222,74.4,Storm,No,100.7,High
108,2024-01-05 11:00:00,Downtown,Main Road,2938,25.2,Storm,Yes,99.0,Low
109,2024-01-05 12:00:00,Residential,Highway,481,20.3,Storm,No,111.2,Medium
110,2024-01-05 13:00:00,Suburban,Main Road,1492,47.7,Rain,Yes,100.4,Low
111,2024-01-05 14:00:00,Residential,Local Road,2672,31.3,Storm,Yes,119.3,Medium
112,2024-01-05 15:00:00,Downtown,Highway,1797,36.4,Fog,No,35.7,Medium
113,2024-01-05 16:00:00,Suburban,Main Road,2324,74.8,Storm,No,31.0,High
114,2024-01-05 17:00:00,Downtown,Local Road,469,70.7,Clear,No,62.2,High
115,2024-01-05 18:00:00,Suburban,Highway,1311,62.5,Storm,No,16.3,High
116,2024-01-05 19:00:00,Suburban,Main Road,619,11.2,Clear,No,76.1,Medium
117,2024-01-05 20:00:00,Industrial,Highway,1714,36.2,Fog,No,101.5,Medium
118,2024-01-05 21:00:00,Suburban,Main Road,350,15.5,Storm,No,116.6,Medium
119,2024-01-05 22:00:00,Commercial,Local Road,2455,51.8,Fog,No,118.1,Low
120,2024-01-05 23:00:00,Downtown,Local Road,1048,51.0,Rain,No,12.6,High
121,2024-01-06 00:00:00,Commercial,Local Road,1677,61.5,Fog,No,69.7,Medium
122,2024-01-06 01:00:00,Residential,Main Road,1312,39.6,Fog,No,82.7,Low
123,2024-01-06 02:00:00,Downtown,Local Road,1038,56.1,Fog,No,41.4,Low
124,2024-01-06 03:00:00,Suburban,Highway,784,37.6,Storm,No,66.5,Medium
125,2024-01-06 04:00:00,Residential,Local Road,1879,23.1,Storm,Yes,30.1,Medium
126,2024-01-06 05:00:00,Suburban,Main Road,809,75.2,Storm,No,26.5,High
127,2024-01-06 06:00:00,Commercial,Local Road,197,14.1,Fog,No,110.8,Low
128,2024-01-06 07:00:00,Commercial,Highway,2834,37.0,Fog,No,48.9,Low
129,2024-01-06 08:00:00,Residential,Main Road,1358,38.1,Rain,No,73.3,Low
130,2024-01-06 09:00:00,Suburban,Highway,1123,65.3,Storm,Yes,22.2,High
131,2024-01-06 10:00:00,Suburban,Main Road,1742,14.1,Rain,No,106.5,Medium
132,2024-01-06 11:00:00,Suburban,Local Road,412,12.7,Fog,No,14.8,Low
133,2024-01-06 12:00:00,Industrial,Local Road,700,14.9,Clear,No,74.7,Medium
134,2024-01-06 13:00:00,Commercial,Main Road,490,73.2,Rain,No,83.6,High
135,2024-01-06 14:00:00,Suburban,Main Road,2999,67.2,Storm,No,24.0,Medium
136,2024-01-06 15:00:00,Residential,Highway,2238,55.0,Storm,No,46.0,High
137,2024-01-06 16:00:00,Suburban,Local Road,2282,71.1,Clear,Yes,38.8,Medium
138,2024-01-06 17:00:00,Downtown,Main Road,764,75.5,Rain,No,115.5,High
139,2024-01-06 18:00:00,Suburban,Local Road,1795,41.3,Fog,No,96.9,Low
140,2024-01-06 19:00:00,Industrial,Main Road,1401,15.6,Clear,Yes,84.7,Low
141,2024-01-06 20:00:00,Industrial,Local Road,2918,18.2,Fog,No,99.5,Medium
142,2024-01-06 21:00:00,Downtown,Main Road,2666,30.7,Rain,Yes,41.6,High
143,2024-01-06 22:00:00,Industrial,Highway,2209,53.2,Clear,No,114.4,Low
144,2024-01-06 23:00:00,Commercial,Local Road,556,33.2,Clear,No,65.1,High
145,2024-01-07 00:00:00,Industrial,Highway,2884,23.5,Clear,No,82.9,Medium
146,2024-01-07 01:00:00,Residential,Local Road,1341,37.1,Storm,No,53.2,Low
147,2024-01-07 02:00:00,Industrial,Local Road,2199,75.9,Clear,No,37.5,High
148,2024-01-07 03:00:00,Suburban,Main Road,1679,54.6,Storm,No,88.6,High
149,2024-01-07 04:00:00,Industrial,Main Road,2094,30.9,Rain,No,112.1,Medium
150,2024-01-07 05:00:00,Downtown,Local Road,2308,65.0,Storm,No,40.5,Low
151,2024-01-07 06:00:00,Residential,Highway,1667,33.6,Clear,No,86.7,High
152,2024-01-07 07:00:00,Residential,Local Road,1948,24.6,Clear,Yes,112.3,High
153,2024-01-07 08:00:00,Residential,Local Road,1684,68.8,Fog,No,63.1,Medium
154,2024-01-07 09:00:00,Residential,Local Road,615,37.4,Fog,No,73.8,Low
155,2024-01-07 10:00:00,Industrial,Main Road,2639,56.7,Clear,No,14.1,Medium
156,2024-01-07 11:00:00,Downtown,Highway,151,34.0,Storm,Yes,16.2,High
157,2024-01-07 12:00:00,Industrial,Local Road,2237,21.9,Fog,No,53.7,Low
158,2024-01-07 13:00:00,Industrial,Local Road,2060,20.8,Storm,No,23.6,Medium
159,2024-01-07 14:00:00,Downtown,Main Road,1497,67.5,Rain,Yes,68.1,Medium
160,2024-01-07 15:00:00,Residential,Local Road,468,33.9,Rain,No,106.7,Low
161,2024-01-07 16:00:00,Suburban,Local Road,1546,63.0,Clear,No,56.6,High
162,2024-01-07 17:00:00,Industrial,Main Road,517,22.7,Rain,No,104.2,Medium
163,2024-01-07 18:00:00,Residential,Local Road,252,72.9,Rain,No,17.3,Medium
164,2024-01-07 19:00:00,Suburban,Local Road,1574,55.9,Rain,No,60.1,Medium
165,2024-01-07 20:00:00,Downtown,Local Road,1191,19.0,Fog,Yes,43.5,Low
166,2024-01-07 21:00:00,Suburban,Local Road,1112,57.7,Fog,No,8.7,Low
167,2024-01-07 22:00:00,Residential,Local Road,814,17.9,Rain,No,66.3,High
168,2024-01-07 23:00:00,Residential,Highway,1176,66.6,Clear,No,110.6,High
169,2024-01-08 00:00:00,Commercial,Main Road,655,77.9,Fog,No,66.0,High
170,2024-01-08 01:00:00,Downtown,Highway,1988,74.2,Fog,No,66.6,Low
171,2024-01-08 02:00:00,Downtown,Highway,953,72.0,Fog,No,73.9,Low
172,2024-01-08 03:00:00,Downtown,Local Road,611,21.7,Clear,No,41.0,Low
173,2024-01-08 04:00:00,Suburban,Highway,2641,67.4,Storm,No,72.3,High
174,2024-01-08 05:00:00,Downtown,Main Road,1684,11.7,Rain,No,114.7,High
175,2024-01-08 06:00:00,Downtown,Local Road,1239,26.7,Fog,No,98.2,High
176,2024-01-08 07:00:00,Suburban,Highway,2371,50.8,Fog,No,16.7,Low
177,2024-01-08 08:00:00,Commercial,Highway,2112,30.6,Clear,No,74.2,Medium
178,2024-01-08 09:00:00,Residential,Main Road,2145,42.9,Rain,No,93.5,Low
179,2024-01-08 10:00:00,Commercial,Highway,2631,14.7,Fog,No,98.2,Medium
180,2024-01-08 11:00:00,Downtown,Local Road,1127,15.5,Rain,No,92.5,Medium
181,2024-01-08 12:00:00,Commercial,Highway,2265,65.4,Clear,No,58.1,Low
182,2024-01-08 13:00:00,Suburban,Main Road,2484,76.7,Storm,No,55.3,High
183,2024-01-08 14:00:00,Residential,Highway,862,52.8,Storm,No,79.2,High
184,2024-01-08 15:00:00,Commercial,Highway,272,23.7,Clear,No,63.9,Low
185,2024-01-08 16:00:00,Industrial,Local Road,722,43.7,Fog,No,17.7,Medium
186,2024-01-08 17:00:00,Commercial,Local Road,1374,65.1,Storm,No,106.8,Medium
187,2024-01-08 18:00:00,Industrial,Main Road,249,17.5,Clear,No,45.3,Low
188,2024-01-08 19:00:00,Industrial,Highway,1560,51.4,Fog,No,88.3,Low
189,2024-01-08 20:00:00,Industrial,Highway,440,23.0,Rain,No,89.5,High
190,2024-01-08 21:00:00,Residential,Local Road,1232,64.1,Clear,No,42.4,Low
191,2024-01-08 22:00:00,Industrial,Highway,2574,15.0,Clear,No,11.0,Low
192,2024-01-08 23:00:00,Residential,Main Road,1285,57.7,Clear,No,93.8,High
193,2024-01-09 00:00:00,Commercial,Local Road,1537,78.4,Storm,No,20.2,Medium
194,2024-01-09 01:00:00,Industrial,Main Road,2392,26.5,Clear,No,73.3,High
195,2024-01-09 02:00:00,Commercial,Main Road,2972,38.3,Clear,No,42.2,Low
196,2024-01-09 03:00:00,Suburban,Local Road,1366,48.7,Fog,No,19.5,High
197,2024-01-09 04:00:00,Industrial,Main Road,2898,48.8,Rain,No,20.6,Medium
198,2024-01-09 05:00:00,Suburban,Main Road,673,43.4,Storm,No,11.7,High
199,2024-01-09 06:00:00,Residential,Main Road,664,53.0,Clear,No,10.2,Medium
200,2024-01-09 07:00:00,Commercial,Main Road,2064,60.2,Clear,No,7.3,High
201,2024-01-09 08:00:00,Residential,Local Road,1484,64.7,Rain,Yes,79.0,Low
202,2024-01-09 09:00:00,Commercial,Main Road,1104,71.9,Storm,No,64.0,Medium
203,2024-01-09 10:00:00,Downtown,Highway,603,27.6,Rain,No,26.9,Medium
204,2024-01-09 11:00:00,Downtown,Local Road,1157,14.8,Storm,Yes,116.2,Low
205,2024-01-09 12:00:00,Residential,Local Road,1949,48.6,Clear,Yes,49.9,Low
206,2024-01-09 13:00:00,Suburban,Local Road,53,43.1,Storm,No,80.8,High
207,2024-01-09 14:00:00,Residential,Main Road,778,29.1,Storm,No,47.9,Low
208,2024-01-09 15:00:00,Industrial,Main Road,1712,16.2,Rain,No,64.8,High
209,2024-01-09 16:00:00,Suburban,Local Road,2273,65.2,Fog,No,101.6,High
210,2024-01-09 17:00:00,Commercial,Highway,1197,22.4,Fog,Yes,40.6,High
211,2024-01-09 18:00:00,Industrial,Highway,2030,32.3,Fog,No,33.7,Low
212,2024-01-09 19:00:00,Commercial,Highway,377,70.6,Clear,No,10.6,Low
213,2024-01-09 20:00:00,Suburban,Local Road,2727,67.8,Rain,No,53.3,Low
214,2024-01-09 21:00:00,Industrial,Main Road,702,64.6,Clear,No,60.0,Low
215,2024-01-09 22:00:00,Commercial,Local Road,129,31.8,Rain,Yes,38.2,High
216,2024-01-09 23:00:00,Suburban,Main Road,2486,36.2,Rain,No,114.4,High
217,2024-01-10 00:00:00,Residential,Highway,145,12.0,Fog,No,9.6,Medium
218,2024-01-10 01:00:00,Suburban,Highway,2914,24.5,Storm,Yes,119.9,Medium
219,2024-01-10 02:00:00,Residential,Highway,2323,74.5,Fog,No,37.1,High
220,2024-01-10 03:00:00,Commercial,Main Road,2092,52.8,Storm,No,10.9,Low
221,2024-01-10 04:00:00,Industrial,Highway,719,23.6,Storm,No,19.2,Low
222,2024-01-10 05:00:00,Commercial,Highway,307,77.5,Clear,No,45.6,Low
223,2024-01-10 06:00:00,Downtown,Main Road,1137,76.5,Storm,No,68.0,Low
224,2024-01-10 07:00:00,Residential,Local Road,257,46.3,Fog,No,33.2,Low
225,2024-01-10 08:00:00,Suburban,Local Road,485,50.0,Rain,No,74.4,Low
226,2024-01-10 09:00:00,Industrial,Local Road,1502,14.2,Storm,Yes,79.7,Medium
227,2024-01-10 10:00:00,Commercial,Highway,2655,38.0,Rain,No,9.6,Low
228,2024-01-10 11:00:00,Residential,Main Road,2169,56.8,Clear,No,102.1,High
229,2024-01-10 12:00:00,Residential,Local Road,566,62.9,Storm,No,23.0,High
230,2024-01-10 13:00:00,Commercial,Local Road,2554,45.7,Storm,No,39.1,Low
231,2024-01-10 14:00:00,Suburban,Main Road,2103,25.4,Storm,No,75.6,Medium
232,2024-01-10 15:00:00,Industrial,Local Road,2757,78.7,Clear,No,87.3,Low
233,2024-01-10 16:00:00,Commercial,Highway,1302,77.7,Clear,No,119.8,High
234,2024-01-10 17:00:00,Downtown,Highway,1048,32.9,Fog,No,65.2,Medium
235,2024-01-10 18:00:00,Commercial,Highway,2747,21.4,Rain,No,76.2,Medium
236,2024-01-10 19:00:00,Residential,Main Road,413,21.8,Rain,No,64.8,Medium
237,2024-01-10 20:00:00,Residential,Highway,1505,34.6,Storm,No,68.4,High
238,2024-01-10 21:00:00,Residential,Local Road,2501,15.3,Fog,No,40.6,Low
239,2024-01-10 22:00:00,Suburban,Local Road,345,54.4,Storm,No,61.8,High
240,2024-01-10 23:00:00,Commercial,Main Road,1012,77.9,Fog,No,17.3,Medium
241,2024-01-11 00:00:00,Residential,Local Road,966,57.6,Clear,No,103.7,High
242,2024-01-11 01:00:00,Suburban,Highway,71,72.9,Fog,No,54.0,Low
243,2024-01-11 02:00:00,Industrial,Local Road,1190,17.7,Storm,No,61.3,Low
244,2024-01-11 03:00:00,Suburban,Main Road,650,32.6,Storm,No,74.7,Low
245,2024-01-11 04:00:00,Downtown,Highway,2967,35.9,Clear,No,99.5,Medium
246,2024-01-11 05:00:00,Downtown,Local Road,749,36.4,Clear,No,58.0,Low
247,2024-01-11 06:00:00,Industrial,Local Road,1702,41.2,Clear,Yes,117.2,Low
248,2024-01-11 07:00:00,Downtown,Main Road,1202,72.9,Clear,No,112.7,High
249,2024-01-11 08:00:00,Suburban,Main Road,1093,62.9,Rain,No,78.7,Medium
250,2024-01-11 09:00:00,Residential,Local Road,1273,49.6,Fog,No,97.5,Medium
251,2024-01-11 10:00:00,Residential,Local Road,1944,72.2,Fog,Yes,60.8,Medium
252,2024-01-11 11:00:00,Downtown,Highway,1027,13.0,Clear,No,88.7,Low
253,2024-01-11 12:00:00,Downtown,Local Road,1242,78.1,Rain,No,48.5,Low
254,2024-01-11 13:00:00,Industrial,Local Road,960,10.7,Clear,No,50.2,Medium
255,2024-01-11 14:00:00,Residential,Local Road,673,14.6,Clear,No,13.1,Medium
256,2024-01-11 15:00:00,Industrial,Local Road,463,77.7,Clear,No,72.3,Low
257,2024-01-11 16:00:00,Downtown,Local Road,1404,52.5,Clear,No,10.8,Low
258,2024-01-11 17:00:00,Residential,Main Road,2146,26.1,Rain,No,108.1,Medium
259,2024-01-11 18:00:00,Suburban,Highway,1417,74.2,Storm,No,71.1,Low
260,2024-01-11 19:00:00,Downtown,Local Road,625,65.9,Storm,No,118.4,Low
261,2024-01-11 20:00:00,Downtown,Highway,1730,35.5,Storm,No,59.0,Medium
262,2024-01-11 21:00:00,Commercial,Main Road,1134,29.7,Storm,No,43.5,Low
263,2024-01-11 22:00:00,Suburban,Main Road,2000,36.8,Rain,No,15.4,Low
264,2024-01-11 23:00:00,Residential,Local Road,1302,70.4,Rain,Yes,39.2,Medium
265,2024-01-12 00:00:00,Industrial,Highway,2518,14.8,Storm,No,59.9,Medium
266,2024-01-12 01:00:00,Residential,Local Road,1067,29.3,Storm,No,14.2,Low
267,2024-01-12 02:00:00,Downtown,Main Road,641,73.2,Storm,No,29.4,High
268,2024-01-12 03:00:00,Downtown,Main Road,2006,67.5,Rain,No,92.5,High
269,2024-01-12 04:00:00,Suburban,Main Road,2099,27.5,Fog,No,25.8,Low
270,2024-01-12 05:00:00,Commercial,Local Road,919,59.6,Fog,No,48.9,Medium
271,2024-01-12 06:00:00,Suburban,Main Road,1371,14.5,Storm,No,101.6,Low
272,2024-01-12 07:00:00,Commercial,Main Road,545,47.5,Storm,No,92.8,Medium
273,2024-01-12 08:00:00,Suburban,Local Road,1795,40.6,Clear,Yes,66.2,Low
274,2024-01-12 09:00:00,Downtown,Highway,2758,30.8,Storm,No,37.6,High
275,2024-01-12 10:00:00,Industrial,Main Road,2696,78.0,Rain,No,72.8,Low
276,2024-01-12 11:00:00,Residential,Local Road,790,74.9,Clear,No,99.7,Medium
277,2024-01-12 12:00:00,Residential,Highway,2315,45.3,Rain,No,53.6,Low
278,2024-01-12 13:00:00,Residential,Highway,249,18.6,Clear,No,46.6,Medium
279,2024-01-12 14:00:00,Residential,Highway,2681,35.0,Rain,No,19.4,Low
280,2024-01-12 15:00:00,Residential,Highway,246,46.8,Clear,No,54.6,High
281,2024-01-12 16:00:00,Residential,Local Road,1069,55.9,Storm,No,34.8,Low
282,2024-01-12 17:00:00,Downtown,Local Road,737,55.6,Fog,No,61.9,High
283,2024-01-12 18:00:00,Residential,Highway,2903,55.4,Storm,No,14.6,Low
284,2024-01-12 19:00:00,Suburban,Local Road,2016,58.2,Storm,No,57.7,Medium
285,2024-01-12 20:00:00,Downtown,Main Road,2727,25.3,Storm,No,35.6,Low
286,2024-01-12 21:00:00,Commercial,Local Road,2114,53.6,Rain,No,62.1,High
287,2024-01-12 22:00:00,Industrial,Main Road,1450,74.1,Clear,No,97.9,High
288,2024-01-12 23:00:00,Residential,Highway,1546,15.4,Clear,No,14.2,High
289,2024-01-13 00:00:00,Industrial,Highway,1957,55.9,Rain,No,49.8,Medium
290,2024-01-13 01:00:00,Downtown,Main Road,1410,42.4,Clear,No,97.5,Medium
291,2024-01-13 02:00:00,Commercial,Local Road,1994,70.4,Rain,No,93.3,High
292,2024-01-13 03:00:00,Suburban,Local Road,1161,37.0,Rain,Yes,115.9,Medium
293,2024-01-13 04:00:00,Industrial,Local Road,1983,50.8,Clear,No,54.0,Medium
294,2024-01-13 05:00:00,Downtown,Main Road,2488,18.2,Clear,No,97.0,Low
295,2024-01-13 06:00:00,Residential,Highway,1192,64.3,Storm,No,84.8,High
296,2024-01-13 07:00:00,Downtown,Highway,2998,49.9,Rain,No,35.4,Low
297,2024-01-13 08:00:00,Suburban,Main Road,1508,75.2,Fog,No,68.2,Low
298,2024-01-13 09:00:00,Industrial,Highway,2294,52.2,Storm,No,66.5,Low
299,2024-01-13 10:00:00,Industrial,Local Road,1376,64.9,Clear,No,89.5,Medium
300,2024-01-13 11:00:00,Downtown,Highway,758,30.4,Rain,Yes,39.2,Medium
301,2024-01-13 12:00:00,Commercial,Local Road,2793,20.1,Fog,No,34.3,High
302,2024-01-13 13:00:00,Commercial,Highway,951,59.8,Fog,Yes,103.3,High
303,2024-01-13 14:00:00,Industrial,Main Road,1656,37.0,Clear,No,73.7,Low
304,2024-01-13 15:00:00,Suburban,Main Road,521,42.3,Fog,Yes,37.8,Medium
305,2024-01-13 16:00:00,Commercial,Main Road,52,34.1,Clear,No,103.3,Medium
306,2024-01-13 17:00:00,Commercial,Local Road,779,78.4,Storm,No,100.5,Medium
307,2024-01-13 18:00:00,Suburban,Local Road,508,49.6,Fog,No,33.4,Low
308,2024-01-13 19:00:00,Residential,Local Road,808,62.1,Storm,No,51.0,Medium
309,2024-01-13 20:00:00,Commercial,Main Road,873,29.5,Clear,No,82.2,Low
310,2024-01-13 21:00:00,Downtown,Main Road,989,54.5,Fog,No,27.8,Medium
311,2024-01-13 22:00:00,Downtown,Main Road,2128,43.6,Storm,No,10.9,Medium
